year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
2030,243.027,285.852,399.446,471.331,394.076,477.65,454.468,454.468
2031,238.786,281.546,397.781,475.752,395.752,480.682,463.25,463.25
2032,234.544,277.24,396.116,480.174,397.427,483.714,472.033,472.033
2033,230.303,272.934,394.451,484.595,399.102,486.747,480.815,480.815
2034,226.061,268.627,392.786,489.017,400.778,489.779,489.598,489.598
2035,221.82,264.321,391.121,493.438,402.453,492.812,498.38,498.38
2036,217.579,260.015,389.457,497.86,404.128,495.844,507.163,507.163
2037,213.337,255.709,387.792,502.281,405.804,498.877,515.945,515.945
2038,209.096,251.403,386.127,506.703,407.479,501.909,524.728,524.728
2039,204.854,247.096,384.462,511.124,409.154,504.942,533.51,533.51
2040,200.613,242.79,382.797,515.546,410.83,507.974,542.293,542.293
2041,197.571,239.622,380.234,519.889,411.006,509.434,514.298,547.093
2042,194.53,236.454,377.671,524.231,411.182,510.894,486.303,551.894
2043,191.488,233.286,375.108,528.574,411.358,512.354,458.309,556.694
2044,188.446,230.118,372.545,532.917,411.534,513.813,430.314,561.495
2045,185.405,226.949,369.982,537.26,411.711,515.273,402.319,566.295
2046,182.363,223.781,367.419,541.603,411.887,516.733,374.325,571.096
2047,179.322,220.613,364.856,545.946,412.063,518.193,346.33,575.896
2048,176.28,217.445,362.293,550.289,412.239,519.653,318.335,580.697
2049,173.238,214.277,359.73,554.631,412.415,521.113,290.34,585.497
2050,170.197,211.109,357.167,558.974,412.591,522.573,262.346,590.298
2051,168.933,209.087,354.382,563.309,412.815,523.492,252.582,591.059
2052,167.669,207.065,351.598,567.643,413.038,524.411,242.818,591.82
2053,166.405,205.044,348.813,571.978,413.261,525.331,233.054,592.581
2054,165.142,203.022,346.029,576.312,413.485,526.25,223.291,593.343
2055,163.878,201,343.244,580.646,413.708,527.17,213.527,594.104
2056,162.614,198.978,340.46,584.981,413.931,528.089,203.763,594.865
2057,161.35,196.957,337.675,589.315,414.155,529.008,193.999,595.626
2058,160.086,194.935,334.891,593.65,414.378,529.928,184.235,596.388
2059,158.823,192.913,332.106,597.984,414.601,530.847,174.472,597.149
2060,157.559,190.892,329.321,602.319,414.825,531.767,164.708,597.91
2061,156.449,188.446,328.053,606.8,414.704,531.641,162.139,597.832
2062,155.339,186,326.785,611.281,414.583,531.516,159.57,597.754
2063,154.229,183.555,325.517,615.762,414.462,531.39,157.001,597.676
2064,153.119,181.109,324.248,620.243,414.341,531.265,154.432,597.597
2065,152.009,178.664,322.98,624.724,414.22,531.139,151.863,597.519
2066,150.899,176.218,321.712,629.205,414.1,531.014,149.294,597.441
2067,149.789,173.773,320.444,633.686,413.979,530.888,146.725,597.363
2068,148.68,171.327,319.176,638.167,413.858,530.763,144.156,597.285
2069,147.57,168.882,317.907,642.648,413.737,530.637,141.587,597.207
2070,146.46,166.436,316.639,647.129,413.616,530.512,139.018,597.128
2071,145.038,163.724,315.266,651.755,412.814,529.201,137.916,594.313
2072,143.617,161.011,313.893,656.38,412.011,527.889,136.815,591.499
2073,142.196,158.299,312.52,661.005,411.208,526.578,135.714,588.684
2074,140.775,155.587,311.146,665.631,410.406,525.267,134.613,585.869
2075,139.354,152.874,309.773,670.256,409.603,523.956,133.511,583.054
2076,137.932,150.162,308.4,674.881,408.801,522.645,132.41,580.239
2077,136.511,147.449,307.027,679.507,407.998,521.333,131.309,577.424
2078,135.09,144.737,305.654,684.132,407.196,520.022,130.208,574.609
2079,133.669,142.025,304.28,688.757,406.393,518.711,129.106,571.794
2080,132.247,139.312,302.907,693.382,405.591,517.4,128.005,568.979
2081,131.099,138.394,302.498,697.577,404.059,515.926,126.923,563.414
2082,129.951,137.476,302.089,701.771,402.528,514.451,125.841,557.849
2083,128.802,136.557,301.68,705.965,400.996,512.977,124.759,552.285
2084,127.654,135.639,301.271,710.159,399.465,511.503,123.677,546.72
2085,126.506,134.721,300.862,714.353,397.933,510.028,122.595,541.155
2086,125.358,133.803,300.453,718.547,396.401,508.554,121.513,535.59
2087,124.209,132.884,300.044,722.741,394.87,507.079,120.431,530.025
2088,123.061,131.966,299.635,726.935,393.338,505.605,119.348,524.46
2089,121.913,131.048,299.225,731.129,391.807,504.131,118.266,518.896
2090,120.764,130.13,298.816,735.323,390.275,502.656,117.184,513.331
